Geschäftsnummer,Geschäftstyp,Urheber,Stand,Geschäftstitel,Link zur Geschäftsseite,eingereicht_am,unterzeichner1,unterzeichner2,unterzeichner3,unterzeichner4,unterzeichner5,unterzeichner6,unterzeichner7,unterzeichner8,unterzeichner9,unterzeichner10,unterzeichner11,unterzeichner12,unterzeichner13,unterzeichner14,unterzeichner15,unterzeichner16,unterzeichner17,unterzeichner18,unterzeichner19,unterzeichner20,unterzeichner21,unterzeichner22,unterzeichner23,unterzeichner24,unterzeichner25,unterzeichner26,unterzeichner27,unterzeichner28,unterzeichner29,unterzeichner30,unterzeichner31,unterzeichner32,unterzeichner33,unterzeichner34,unterzeichner35,unterzeichner36,unterzeichner37,unterzeichner38,unterzeichner39,unterzeichner40,unterzeichner41,unterzeichner42,unterzeichner43,unterzeichner44,unterzeichner45,unterzeichner46,unterzeichner47,unterzeichner48,unterzeichner49,unterzeichner50,unterzeichner51,unterzeichner52,unterzeichner53,unterzeichner54,unterzeichner55,unterzeichner56,unterzeichner57,unterzeichner58,unterzeichner59,unterzeichner60,unterzeichner61,unterzeichner62,unterzeichner63,unterzeichner64,unterzeichner65,unterzeichner66,unterzeichner67,unterzeichner68,unterzeichner69,unterzeichner70,unterzeichner71,unterzeichner72,unterzeichner73,unterzeichner74,unterzeichner75,unterzeichner76,unterzeichner77,unterzeichner78,unterzeichner79,id_Urheber,id_unterzeichner1,id_unterzeichner2,id_unterzeichner3,id_unterzeichner4,id_unterzeichner5,id_unterzeichner6,id_unterzeichner7,id_unterzeichner8,id_unterzeichner9,id_unterzeichner10,id_unterzeichner11,id_unterzeichner12,id_unterzeichner13,id_unterzeichner14,id_unterzeichner15,id_unterzeichner16,id_unterzeichner17,id_unterzeichner18,id_unterzeichner19,id_unterzeichner20,id_unterzeichner21,id_unterzeichner22,id_unterzeichner23,id_unterzeichner24,id_unterzeichner25,id_unterzeichner26,id_unterzeichner27,id_unterzeichner28,id_unterzeichner29,id_unterzeichner30,id_unterzeichner31,id_unterzeichner32,id_unterzeichner33,id_unterzeichner34,id_unterzeichner35,id_unterzeichner36,id_unterzeichner37,id_unterzeichner38,id_unterzeichner39,id_unterzeichner40,id_unterzeichner41,id_unterzeichner42,id_unterzeichner43,id_unterzeichner44,id_unterzeichner45,id_unterzeichner46,unterzeichner_ids
25.3441,Interpellation,Page Pierre-André,Eingereicht,Stationierung des neuen Bundesratsjets. Die Lösung heisst Payerne,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253441,2025-05-05,Page Pierre-André,Weber Céline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,299,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3369,Interpellation,Töngi Michael,Stellungnahme zum Vorstoss liegt vor,Mangelnde Datenbasis bei Staustunden,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253369,2025-03-21,Töngi Michael,Brenzikofer Florence,Klopfenstein Broggini Delphine,Ryser Franziska,Schlatter Marionna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,334,424,403,346,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3365,Interpellation,Götte Michael,Erledigt,Nachhaltige Finanzierung der Regionalflugplätze im Kontext der Budgetkürzungen aus dem Entlastungspaket 2027 und der Umsetzung der Motion Würth,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253365,2025-03-21,Götte Michael,Egger Mike,Gutjahr Diana,Paganini Nicolò,Rechsteiner Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,441,341,328,333,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3338,Interpellation,Candan Hasan,Stellungnahme zum Vorstoss liegt vor,Ist die Dienstflotte für Berufsoffiziere und Berufsunteroffiziere noch zeitgemäss und gerechtfertigt?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253338,2025-03-21,Candan Hasan,Alijaj Islam,Bendahan Samuel,Brenzikofer Florence,Clivaz Christophe,Crottaz Brigitte,De Ventura Linda,Friedl Claudia,Glättli Balthasar,Molina Fabian,Prelicz-Huber Katharina,Roth David,Seiler Graf Priska,Zryd Andrea,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,449,443,323,424,383,330,499,89,98,332,411,484,304,498,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3328,Interpellation,Candan Hasan,Stellungnahme zum Vorstoss liegt vor,Einschreiten wegen struktureller Diskriminierung bei Fahrzeugversicherungsprämien?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253328,2025-03-21,Candan Hasan,Alijaj Islam,Amoos Emmanuel,Bendahan Samuel,Clivaz Christophe,Crottaz Brigitte,Friedl Claudia,Glättli Balthasar,Jaccoud Jessica,Marti Min Li,Molina Fabian,Rosenwasser Anna,Roth David,Ryser Franziska,Schläfli Nina,Schneider Meret,Seiler Graf Priska,Tuosto Brenda,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,449,443,428,323,383,330,89,98,460,293,332,447,484,346,487,350,304,494,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3284,Interpellation,Töngi Michael,Stellungnahme zum Vorstoss liegt vor,Umsetzung der strategischen Ziele des Bundesrates für die SBB hinsichtlich internationaler Verbindungen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253284,2025-03-21,Töngi Michael,Brenzikofer Florence,Klopfenstein Broggini Delphine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,334,424,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3218,Interpellation,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,"Stellt der Bundesrat sicher, dass die Kreuzfahrtschiffe ihre Treibhausgasemissionen senken und die Gewässer weniger verschmutzen?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253218,2025-03-20,Clivaz Christophe,Candan Hasan,Weber Céline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,449,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3207,Interpellation,Brenzikofer Florence,Stellungnahme zum Vorstoss liegt vor,Neue Preissysteme und steigende Kosten im öffentlichen Verkehr,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253207,2025-03-20,Brenzikofer Florence,Arslan Sibel,Badertscher Christine,Clivaz Christophe,Fivaz Fabien,Kälin Irène,Klopfenstein Broggini Delphine,Marti Min Li,Michaud Gigon Sophie,Schlatter Marionna,Schneider Meret,Töngi Michael,Trede Aline,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,424,264,355,383,395,329,403,293,367,349,350,334,198,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3172,Interpellation,Roth David,Stellungnahme zum Vorstoss liegt vor,Kostendeckungsgrad LSVA,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253172,2025-03-19,Roth David,Brenzikofer Florence,Schaffner Barbara,Töngi Michael,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,484,424,418,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3152,Interpellation,Brenzikofer Florence,Stellungnahme zum Vorstoss liegt vor,Strategie Fernverkehr. Transparenz zu den geplanten Verbindungen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253152,2025-03-19,Brenzikofer Florence,Baumann Kilian,Candan Hasan,Christ Katja,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Grossen Jürg,Hässig Patrick,Jauslin Matthias Samuel,Marti Min Li,Porchet Léonore,Roth David,Schneider Meret,Töngi Michael,Tuosto Brenda,Weichelt Manuela,Wettstein Felix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,424,358,449,369,383,395,98,106,476,314,293,410,484,350,334,494,386,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3150,Interpellation,Brenzikofer Florence,Stellungnahme zum Vorstoss liegt vor,"Nachhaltiger Ausbau des internationalen Personenverkehrs. Ist der Bundesrat bereit, die nötige Planungssicherheit zu schaffen und damit das CO2-Gesetz zu vollziehen?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253150,2025-03-19,Brenzikofer Florence,Baumann Kilian,Candan Hasan,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Marti Min Li,Porchet Léonore,Roth David,Schneider Meret,Töngi Michael,Weichelt Manuela,Wettstein Felix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,424,358,449,383,395,98,293,410,484,350,334,386,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3143,Interpellation,Herzog Eva,Erledigt,Bahnausbau. BIF am Anschlag?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253143,2025-03-18,Herzog Eva,Binder-Keller Marianne,Crevoisier Crelier Mathilde,Graf Maya,Juillard Charles,Roth Franziska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,382,364,438,102,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3137,Interpellation,Graf Maya,Erledigt,Verkehr 2045. Guillotine für Bahn-Grossprojekte?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253137,2025-03-18,Graf Maya,Crevoisier Crelier Mathilde,Herzog Eva,Juillard Charles,Roth Franziska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,102,438,382,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3098,Interpellation,Tuosto Brenda,Stellungnahme zum Vorstoss liegt vor,Railfair-Programm. Bessere Entlöhnung in Sicht?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253098,2025-03-13,Tuosto Brenda,Brenzikofer Florence,Crottaz Brigitte,Farinelli Alex,Klopfenstein Broggini Delphine,Pahud Yvan,Revaz Estelle,Ruch Daniel,Seiler Graf Priska,Tschopp Jean,Zryd Andrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,494,424,330,393,403,481,NA,436,304,459,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3087,Interpellation,Klopfenstein Broggini Delphine,Stellungnahme zum Vorstoss liegt vor,Der tote Winkel. Fatal für Velofahrerinnen und Velofahrer sowie Fussgängerinnen und Fussgänger,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253087,2025-03-12,Klopfenstein Broggini Delphine,Brenzikofer Florence,Candan Hasan,Farinelli Alex,Roth Pasquier Marie-France,Töngi Michael,Trede Aline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,403,424,449,393,417,334,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3056,Interpellation,Roth David,Stellungnahme zum Vorstoss liegt vor,Bypass ohne Durchgangsbahnhof? Strassenverkehr fördern ohne wichtigste ÖV-Massnahme?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253056,2025-03-05,Roth David,Candan Hasan,Töngi Michael,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,484,449,334,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4648,Interpellation,Schaffner Barbara,Erledigt,Mobilitätsstrategie nach dem Autobahn-Nein,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244648,2024-12-20,Schaffner Barbara,Bertschy Kathrin,Brenzikofer Florence,Christ Katja,Flach Beat,Grossen Jürg,Hässig Patrick,Jauslin Matthias Samuel,Mettler Melanie,Ryser Franziska,Töngi Michael,Weber Céline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,418,53,424,369,83,106,476,314,NA,346,334,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4617,Interpellation,Jauslin Matthias Samuel,Stellungnahme zum Vorstoss liegt vor,"Wie verhindern wir, dass freier Wettbewerb ungewollt Unfreiheit schafft?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244617,2024-12-20,Jauslin Matthias Samuel,Grossen Jürg,Müller-Altermatt Stefan,Schaffner Barbara,Schilliger Peter,Schneeberger Daniela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,314,106,153,418,185,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4572,Interpellation,Töngi Michael,Stellungnahme zum Vorstoss liegt vor,Reparaturmassnahmen im Ausbauschritt 2035. In welchen Regionen braucht es zusätzliche Massnahmen?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244572,2024-12-20,Töngi Michael,Candan Hasan,Durrer Regina,Roth David,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,334,449,471,484,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4564,Interpellation,Wettstein Felix,Erledigt,Finanzierung der Behandlungskosten nach Strassenverkehrsunfällen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244564,2024-12-20,Wettstein Felix,Brenzikofer Florence,Klopfenstein Broggini Delphine,Pult Jon,Töngi Michael,Tuosto Brenda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,354,424,403,378,334,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4478,Interpellation,Jauslin Matthias Samuel,Stellungnahme zum Vorstoss liegt vor,Wie kann man den Pendlerabzug umbauen?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244478,2024-12-19,Jauslin Matthias Samuel,Bäumle Martin,Bertschy Kathrin,de Quattro Jacqueline,Dobler Marcel,Farinelli Alex,Flach Beat,Glättli Balthasar,Grossen Jürg,Masshardt Nadine,Meier Andreas,Mettler Melanie,Pult Jon,Schaffner Barbara,Töngi Michael,Trede Aline,von Falkenstein Patricia,Wermuth Cédric,Wettstein Felix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,314,51,53,392,278,393,83,98,106,144,439,NA,378,418,334,198,430,211,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4458,Interpellation,Klopfenstein Broggini Delphine,Stellungnahme zum Vorstoss liegt vor,Hat die Post die Bahn vergessen?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244458,2024-12-19,Klopfenstein Broggini Delphine,Brenzikofer Florence,Schlatter Marionna,Töngi Michael,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,403,424,349,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4428,Interpellation,Gmür-Schönenberger Andrea,Erledigt,Realisierung der Grossprojekte am Beispiel Durchgangsbahnhof Luzern planmässig weiterführen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244428,2024-12-18,Gmür-Schönenberger Andrea,Dittli Josef,Ettlin Erich,Müller Damian,Z'graggen Heidi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,315,316,318,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
